taxon_id,radius,date,count
52724,2000,2022-08-31,10890
485803,2000,2022-08-31,1363
204260,2000,2022-08-31,9632
127960,2000,2022-08-31,3671
84031,2000,2022-08-31,2393
118850,2000,2022-08-31,10046
76480,2000,2022-08-31,1698
402509,2000,2022-08-31,6585
56077,2000,2022-08-31,11295
55022,2000,2022-08-31,4034
117299,2000,2022-08-31,5340
59029,2000,2022-08-31,3711
58127,2000,2022-08-31,8969
55967,2000,2022-08-31,2666
55909,2000,2022-08-31,6035
60076,2000,2022-08-31,6162
447878,2000,2022-08-31,5745
79441,2000,2022-08-31,14869
67808,2000,2022-08-31,7874
52989,2000,2022-08-31,11231
55411,2000,2022-08-31,1432
52135,2000,2022-08-31,540
